,Rank,Country Name,Average height in Cm,Male Height in Cm,Female Height in Cm,Average height in Ft,Male Height in Ft,Female Height in Ft
0,1,Netherlands,177.07,183.78,170.36,5.81,6.03,5.59
1,2,Montenegro,176.63,183.3,169.96,5.8,6.01,5.58
2,3,Estonia,175.72,182.79,168.66,5.76,6.0,5.53
5,6,Denmark,175.68,181.89,169.47,5.76,5.97,5.56
4,5,Iceland,175.5,182.1,168.91,5.76,5.97,5.54
7,8,Latvia,174.99,181.17,168.81,5.74,5.94,5.54
3,4,Bosnia and Herzegovina,174.97,182.47,167.47,5.74,5.99,5.49
6,7,Czech Republic,174.58,181.19,167.96,5.72,5.94,5.51
12,13,Serbia,174.52,180.74,168.29,5.72,5.93,5.52
13,14,Lithuania,174.18,180.72,167.63,5.72,5.93,5.5
9,10,Slovenia,174.09,180.98,167.2,5.72,5.94,5.49
8,9,Slovakia,174.07,181.02,167.12,5.71,5.94,5.48
10,11,Ukraine,173.8,180.98,166.62,5.7,5.94,5.47
11,12,Croatia,173.78,180.76,166.8,5.7,5.93,5.47
17,18,Sweden,173.56,180.46,166.67,5.7,5.92,5.47
15,16,Finland,173.52,180.57,166.48,5.69,5.92,5.46
19,20,Dominica,173.52,180.15,166.89,5.7,5.91,5.48
16,17,Norway,173.46,180.48,166.45,5.69,5.92,5.46
14,15,Poland,173.24,180.69,165.78,5.68,5.93,5.44
18,19,Germany,173.23,180.28,166.18,5.68,5.91,5.45
20,21,Bermuda,172.92,179.72,166.11,5.68,5.9,5.45
36,37,Cook Islands,172.82,178.32,167.31,5.67,5.85,5.49
32,33,Belarus,172.81,178.69,166.93,5.67,5.86,5.48
34,35,Austria,172.73,178.52,166.93,5.67,5.86,5.48
22,23,Greece,172.54,179.26,165.81,5.66,5.88,5.44
37,38,French Polynesia,172.42,178.32,166.52,5.65,5.85,5.46
31,32,Grenada,172.34,178.7,165.99,5.66,5.86,5.45
43,44,American Samoa,172.32,177.09,167.55,5.65,5.81,5.5
27,28,Antigua and Barbuda,172.28,178.84,165.72,5.66,5.87,5.44
26,27,Andorra,172.18,178.84,165.53,5.65,5.87,5.43
42,43,Niue,172.11,177.19,167.03,5.64,5.81,5.48
24,25,Ireland,171.77,179.04,164.5,5.64,5.87,5.4
35,36,Luxembourg,171.76,178.46,165.07,5.64,5.86,5.42
29,30,Canada,171.74,178.75,164.73,5.63,5.86,5.4
28,29,Australia,171.72,178.77,164.67,5.64,5.87,5.4
33,34,France,171.54,178.6,164.49,5.63,5.86,5.4
30,31,Switzerland,171.53,178.73,164.33,5.62,5.86,5.39
41,42,Saint Vincent and the Grenadines,171.4,177.49,165.3,5.62,5.82,5.42
44,45,Barbados,171.34,177.03,165.66,5.62,5.81,5.44
25,26,Lebanon,171.32,178.96,163.67,5.62,5.87,5.37
39,40,Romania,171.27,177.82,164.73,5.62,5.83,5.4
21,22,Puerto Rico,171.27,179.48,163.06,5.62,5.89,5.35
23,24,Belgium,171.24,179.09,163.4,5.62,5.88,5.36
40,41,New Zealand,171.19,177.72,164.66,5.62,5.83,5.4
38,39,United Kingdom,171.08,178.21,163.94,5.62,5.85,5.38
57,58,Tokelau,171.07,176.06,166.08,5.62,5.78,5.45
50,51,Saint Lucia,170.98,176.43,165.52,5.61,5.79,5.43
45,46,Jamaica,170.64,176.97,164.32,5.6,5.81,5.39
68,69,Tonga,170.6,175.11,166.08,5.6,5.75,5.45
48,49,Russia,170.58,176.65,164.52,5.6,5.8,5.4
46,47,United States,170.12,176.94,163.31,5.58,5.81,5.36
55,56,Senegal,170.05,176.18,163.92,5.58,5.78,5.38
58,59,Trinidad and Tobago,169.7,176.03,163.38,5.57,5.78,5.36
60,61,Georgia,169.61,175.98,163.24,5.56,5.77,5.36
49,50,Hungary,169.57,176.59,162.55,5.56,5.79,5.33
63,64,China,169.56,175.66,163.46,5.56,5.76,5.36
52,53,Libya,169.48,176.39,162.56,5.56,5.79,5.33
66,67,South Korea,169.38,175.52,163.23,5.56,5.76,5.36
87,88,Bulgaria,169.38,174.17,164.58,5.56,5.71,5.4
65,66,Moldova,169.28,175.59,162.96,5.56,5.76,5.35
47,48,Tunisia,169.27,176.85,161.69,5.55,5.8,5.3
61,62,Seychelles,169.18,175.9,162.47,5.55,5.77,5.33
92,93,Fiji,169.13,173.98,164.28,5.55,5.71,5.39
81,82,Samoa,169.12,174.42,163.82,5.54,5.72,5.37
59,60,Israel,169.1,175.98,162.22,5.54,5.77,5.32
53,54,Turkey,169.08,176.36,161.8,5.55,5.79,5.31
62,63,Brazil,169.07,175.73,162.41,5.55,5.77,5.33
56,57,Spain,169.07,176.11,162.03,5.55,5.78,5.32
82,83,Bahamas,168.93,174.4,163.46,5.54,5.72,5.36
54,55,Morocco,168.76,176.35,161.18,5.54,5.79,5.29
70,71,Algeria,168.7,175.04,162.35,5.54,5.74,5.33
83,84,Malta,168.66,174.38,162.95,5.54,5.72,5.35
51,52,North Macedonia,168.66,176.43,160.88,5.54,5.79,5.28
67,68,Kazakhstan,168.62,175.5,161.74,5.54,5.76,5.31
84,85,Turkmenistan,168.6,174.37,162.83,5.53,5.72,5.34
71,72,Mali,168.5,175.02,161.99,5.52,5.74,5.31
64,65,Iran,168.4,175.62,161.18,5.52,5.76,5.29
79,80,Suriname,168.38,174.51,162.26,5.52,5.73,5.32
96,97,Saint Kitts and Nevis,168.24,173.71,162.78,5.52,5.7,5.34
69,70,Palestine,168.17,175.05,161.28,5.52,5.74,5.29
89,90,Albania,168.15,174.07,162.23,5.52,5.71,5.32
80,81,Italy,168.12,174.42,161.81,5.52,5.72,5.31
75,76,Argentina,167.99,174.76,161.22,5.51,5.73,5.29
76,77,North Korea,167.96,174.69,161.22,5.51,5.73,5.29
86,87,Uruguay,167.94,174.32,161.56,5.51,5.72,5.3
77,78,Dominican Republic,167.93,174.65,161.21,5.51,5.73,5.29
85,86,Portugal,167.8,174.37,161.23,5.5,5.72,5.29
74,75,Hong Kong,167.73,174.83,160.62,5.5,5.74,5.27
78,79,Egypt,167.72,174.57,160.88,5.51,5.73,5.28
91,92,Azerbaijan,167.68,174.0,161.37,5.5,5.71,5.29
93,94,Greenland,167.62,173.84,161.4,5.5,5.7,5.3
103,104,Botswana,167.61,173.16,162.06,5.5,5.68,5.32
72,73,Kuwait,167.53,174.96,160.1,5.5,5.74,5.25
121,122,Tuvalu,167.44,171.3,163.57,5.5,5.62,5.37
101,102,Singapore,167.4,173.5,161.3,5.49,5.69,5.29
88,89,United Arab Emirates,167.3,174.08,160.53,5.49,5.71,5.27
90,91,Costa Rica,167.2,174.04,160.36,5.48,5.71,5.26
73,74,Jordan,167.15,174.84,159.46,5.48,5.74,5.23
100,101,Taiwan,167.12,173.53,160.7,5.48,5.69,5.27
102,103,Qatar,167.0,173.27,160.72,5.48,5.68,5.27
115,116,Chad,166.98,171.84,162.12,5.48,5.64,5.32
98,99,Cuba,166.84,173.56,160.13,5.47,5.69,5.25
99,100,Venezuela,166.78,173.53,160.04,5.47,5.69,5.25
94,95,Paraguay,166.78,173.81,159.76,5.47,5.7,5.24
97,98,Armenia,166.76,173.67,159.85,5.47,5.7,5.24
107,108,Cyprus,166.65,172.75,160.55,5.47,5.67,5.27
113,114,Burkina Faso,166.61,171.89,161.33,5.46,5.64,5.29
108,109,Haiti,166.4,172.23,160.58,5.46,5.65,5.27
110,111,Cameroon,166.27,172.13,160.41,5.46,5.65,5.26
95,96,Iraq,166.27,173.79,158.75,5.46,5.7,5.21
111,112,Sudan,166.22,172.07,160.36,5.46,5.65,5.26
105,106,Chile,166.15,172.88,159.42,5.45,5.67,5.23
104,105,Mauritius,165.98,173.01,158.94,5.44,5.68,5.21
117,118,Kyrgyzstan,165.93,171.66,160.2,5.44,5.63,5.26
109,110,Guyana,165.86,172.15,159.57,5.44,5.65,5.24
124,125,Uzbekistan,165.62,170.94,160.29,5.44,5.61,5.26
142,143,Kiribati,165.56,170.09,161.04,5.43,5.58,5.28
123,124,Somalia,165.54,171.22,159.86,5.43,5.62,5.24
106,107,Bahrain,165.52,172.76,158.29,5.43,5.67,5.19
119,120,Thailand,165.52,171.61,159.42,5.43,5.63,5.23
118,119,Syria,165.51,171.64,159.38,5.43,5.63,5.23
125,126,Djibouti,165.3,170.77,159.82,5.42,5.6,5.24
128,129,Mongolia,165.28,170.67,159.89,5.42,5.6,5.25
112,113,Japan,165.28,172.06,158.5,5.43,5.65,5.2
127,128,Zimbabwe,165.27,170.69,159.85,5.42,5.6,5.24
134,135,Gabon,165.26,170.48,160.05,5.42,5.59,5.25
136,137,Sao Tome and Principe,165.09,170.37,159.81,5.42,5.59,5.24
131,132,Palau,165.07,170.62,159.52,5.42,5.6,5.23
116,117,Oman,165.07,171.7,158.44,5.42,5.63,5.2
139,140,Niger,165.04,170.26,159.81,5.42,5.59,5.24
160,161,Gambia,165.04,168.36,161.73,5.41,5.52,5.31
144,145,Namibia,165.0,169.75,160.26,5.42,5.57,5.26
122,123,Republic of the Congo,165.0,171.23,158.78,5.42,5.62,5.21
135,136,Kenya,164.94,170.46,159.43,5.41,5.59,5.23
114,115,Colombia,164.9,171.85,157.96,5.41,5.64,5.18
120,121,Nigeria,164.84,171.55,158.14,5.41,5.63,5.19
130,131,Saudi Arabia,164.76,170.67,158.84,5.4,5.6,5.21
126,127,Guinea,164.72,170.7,158.75,5.4,5.6,5.21
141,142,Togo,164.64,170.14,159.13,5.4,5.58,5.22
147,148,Micronesia,164.62,169.57,159.66,5.4,5.56,5.24
137,138,Ghana,164.58,170.3,158.86,5.4,5.59,5.21
161,162,Vanuatu,164.38,168.29,160.48,5.4,5.52,5.27
151,152,Central African Republic,164.33,169.01,159.65,5.39,5.54,5.24
133,134,Belize,164.32,170.52,158.12,5.39,5.59,5.19
140,141,Panama,164.19,170.19,158.19,5.38,5.58,5.19
149,150,Eswatini,164.16,169.41,158.92,5.38,5.56,5.21
145,146,South Africa,164.1,169.63,158.58,5.38,5.57,5.2
138,139,Mexico,164.1,170.29,157.9,5.38,5.59,5.18
132,133,Eritrea,164.09,170.6,157.58,5.38,5.6,5.17
148,149,Nauru,163.7,169.57,157.82,5.37,5.56,5.18
152,153,Vietnam,163.66,168.89,158.43,5.37,5.54,5.2
154,155,Uganda,163.64,168.74,158.53,5.37,5.54,5.2
129,130,El Salvador,163.53,170.67,156.39,5.36,5.6,5.13
162,163,Ivory Coast,163.44,168.23,158.65,5.36,5.52,5.21
164,165,Guinea-Bissau,163.44,168.17,158.72,5.36,5.52,5.21
158,159,Benin,163.42,168.44,158.4,5.36,5.53,5.2
157,158,Angola,163.28,168.46,158.1,5.36,5.53,5.19
159,160,Tajikistan,163.28,168.43,158.12,5.36,5.53,5.19
150,151,Malaysia,163.13,169.2,157.06,5.35,5.55,5.15
163,164,Equatorial Guinea,163.12,168.18,158.05,5.36,5.52,5.19
153,154,Ethiopia,163.0,168.84,157.15,5.35,5.54,5.16
184,185,Mauritania,162.8,165.54,160.06,5.34,5.43,5.25
143,144,Nicaragua,162.76,169.91,155.62,5.34,5.57,5.11
170,171,Zambia,162.47,167.62,157.32,5.33,5.5,5.16
155,156,DR Congo,162.45,168.6,156.3,5.33,5.53,5.13
146,147,Honduras,162.38,169.59,155.18,5.32,5.56,5.09
167,168,Lesotho,162.32,167.92,156.72,5.32,5.51,5.14
156,157,Afghanistan,162.3,168.5,156.11,5.32,5.53,5.12
169,170,Comoros,162.13,167.72,156.54,5.32,5.5,5.14
166,167,Sri Lanka,161.98,168.07,155.88,5.31,5.51,5.11
175,176,Tanzania,161.94,166.98,156.89,5.32,5.48,5.15
179,180,Sierra Leone,161.88,166.43,157.34,5.31,5.46,5.16
165,166,Bolivia,161.84,168.1,155.58,5.31,5.52,5.1
182,183,Rwanda,161.37,166.02,156.72,5.3,5.45,5.14
173,174,Ecuador,161.28,167.32,155.25,5.29,5.49,5.09
171,172,Burundi,161.21,167.34,155.08,5.29,5.49,5.09
174,175,Bhutan,161.1,167.05,155.15,5.28,5.48,5.09
168,169,Maldives,161.07,167.87,154.28,5.28,5.51,5.06
172,173,Pakistan,161.05,167.33,154.77,5.28,5.49,5.08
185,186,Liberia,161.01,165.48,156.54,5.28,5.43,5.14
183,184,Malawi,160.91,165.68,156.14,5.28,5.44,5.12
178,179,India,160.84,166.5,155.18,5.28,5.46,5.09
177,178,Myanmar,160.7,166.7,154.71,5.28,5.47,5.08
180,181,Brunei,160.61,166.31,154.9,5.27,5.46,5.08
176,177,Peru,160.57,166.75,154.39,5.27,5.47,5.07
181,182,Indonesia,160.31,166.26,154.36,5.26,5.45,5.06
186,187,Cambodia,160.05,165.35,154.75,5.25,5.42,5.08
187,188,Marshall Islands,160.01,165.26,154.76,5.25,5.42,5.08
195,196,Papua New Guinea,160.0,163.1,156.89,5.25,5.35,5.15
196,197,Solomon Islands,159.93,163.07,156.79,5.24,5.35,5.14
194,195,Mozambique,159.86,164.3,155.42,5.24,5.39,5.1
188,189,Philippines,159.68,165.23,154.14,5.24,5.42,5.06
191,192,Yemen,159.59,164.42,154.76,5.24,5.39,5.08
189,190,Madagascar,159.11,165.16,153.06,5.22,5.42,5.02
190,191,Bangladesh,158.73,165.08,152.38,5.21,5.42,5.0
192,193,Nepal,158.38,164.36,152.39,5.2,5.39,5.0
197,198,Laos,157.94,162.78,153.1,5.18,5.34,5.02
193,194,Guatemala,157.64,164.36,150.91,5.17,5.39,4.95
198,199,Timor-Leste,156.42,160.13,152.71,5.13,5.25,5.01
